snp,state,label,value
0,1,N,3.91962768950994
1,1,N,2.7646399206974475
2,1,N,5.349203376245439
3,1,N,-0.12571822971905222
4,1,N,2.686007139256546
5,1,N,2.7019540737886705
6,1,N,3.1871486003478617
7,1,N,4.559002867524123
8,1,N,2.606404124191736
9,1,N,1.316446924123034
10,0,P,7.665420083942447
11,0,P,11.05930444490801
12,0,P,7.641820532449875
13,1,N,8.043938778758024
14,1,N,1.4309163053837437
15,1,N,5.2501216401091515
16,1,N,1.8969692460107608
17,1,N,2.7893205664535854
18,1,N,3.770999347455952
19,1,N,3.251093423071802
20,1,N,3.9675533192354946
21,1,N,2.6476047121048447
22,1,N,5.703425996999179
23,0,P,8.615970310280758
24,0,P,5.379895518116287
25,1,N,5.58189750647063
26,1,N,5.2442176111115675
27,1,N,-0.8124669250665044
28,1,N,4.485428093098345
29,1,N,1.8537781689377892
30,1,N,3.1389277258860684
31,1,N,5.955876921664029
32,1,N,0.8402414798742912
33,1,N,-0.9593466768387446
34,1,N,4.670030698457667
35,1,N,6.347116635003633
36,1,N,3.2955924527520257
37,1,N,2.641218329090907
38,1,N,3.3758769858079596
39,1,N,-0.9226863356605888
40,1,N,1.0158217055835357
41,1,N,2.0205275819096338
42,1,N,3.1328832573062644
43,1,N,4.296663619814348
44,1,N,4.990167425138129
45,1,N,0.236143593284865
46,1,N,1.5675462687557304
47,1,N,2.1886265629848225
48,1,N,4.236822882320891
49,1,N,0.3769422984627906
50,1,N,3.2215547683180947
51,1,N,3.6231773535043565
52,1,N,4.840170542342296
53,1,N,5.558546093054542
54,1,N,1.296304063691346
55,1,N,0.9685838008259986
56,1,N,-2.5037083031987484
57,1,N,3.4733493760052356
58,1,N,1.7262962988185797
59,1,N,-1.4436352848004734
60,1,N,4.644361283580556
61,1,N,0.6810267352730808
62,1,N,4.454127376628687
63,1,N,2.2729976570584665
64,1,N,0.22660287860705353
65,0,P,6.539294090504649
66,0,P,9.831914463254314
67,0,P,5.427422634042084
68,0,P,5.9823784752078994
69,1,N,7.438212853464693
70,1,N,1.3773859315014083
71,1,N,2.2705081465042296
72,1,N,3.0861560891584774
73,1,N,3.673429842300589
74,1,N,-0.40000511120220095
75,1,N,3.719999302897391
76,1,N,3.888695625237252
77,1,N,6.831613869967528
78,1,N,0.9209448281105872
79,1,N,7.305942073171072
80,1,N,5.660447313277013
81,1,N,6.520439291657484
82,1,N,3.777663727909428
83,1,N,1.3921592768946707
84,1,N,2.3150709271982777
85,1,N,2.846439656315755
86,1,N,-0.9700270328884582
87,1,N,2.476192322508643
88,1,N,4.879435753450102
89,1,N,6.206841139439725
90,1,N,1.478858184141033
91,1,N,1.845291473846033
92,0,P,5.4527652260637005
93,1,N,3.325596167732003
94,1,N,5.729838725155487
95,1,N,4.370530315573354
96,1,N,2.898356434230022
97,1,N,4.253586922326696
98,1,N,3.8810369917262726
99,1,N,2.5047458565745773
100,1,N,3.7844744381155784
101,1,N,3.2031899249904954
102,1,N,2.836832433671444
103,1,N,2.5996929111072746
104,1,N,5.108235251708935
105,1,N,4.044614993498479
106,1,N,8.082863299107945
107,1,N,2.6276899996674103
108,1,N,1.8442824209247222
109,1,N,1.2455198322240137
110,1,N,3.5849030222229508
111,1,N,5.013823085170323
112,1,N,2.2653876357693994
113,1,N,4.525347548924068
114,1,N,4.846811359757749
115,1,N,3.7034385929327804
116,1,N,-3.3788784907377396
117,1,N,-0.15145820611879746
118,1,N,1.8294139031889358
119,1,N,7.8630668839991875
120,1,N,4.206703765928953
121,1,N,3.2952907047788953
122,1,N,3.571220889111889
123,1,N,6.142464815593277
124,1,N,2.367071036827709
125,1,N,3.985433348610171
126,1,N,3.4797185848428516
127,1,N,3.4934507748597605
128,1,N,4.587638209161059
129,1,N,2.723834951140437
130,1,N,2.0646030610999437
131,1,N,2.798501274142726
132,1,N,2.095338037615379
133,1,N,4.357301678357558
134,1,N,3.3618361640663674
135,1,N,2.4996725818506547
136,1,N,5.722471693282845
137,1,N,3.916811128985935
138,1,N,3.8846430802947602
139,1,N,2.4443308326801154
140,1,N,2.511772139705999
141,1,N,7.828426264780299
142,1,N,1.6864692332841162
143,1,N,5.544223625590675
144,1,N,6.436050861324014
145,1,N,3.7877895208654984
146,1,N,2.9906343531712776
147,1,N,1.1009194971157854
148,1,N,5.83599374446991
149,1,N,-0.5414680165311574
150,1,N,6.211517666352
151,1,N,1.3225465105306842
152,1,N,-0.013719893963740404
153,1,N,4.986403972924002
154,1,N,1.6827878333049622
155,1,N,1.3518993999913396
156,1,N,-0.522081559524334
157,1,N,2.535292116446869
158,1,N,2.2618472450375915
159,1,N,-0.04743144966668922
160,0,P,10.54050546831635
161,0,P,8.038902900541704
162,0,P,7.284041093959068
163,0,P,8.543535437226643
164,0,P,6.755010261978763
165,0,P,5.909563738827349
166,0,P,9.269598962550067
167,0,P,10.48159899668971
168,0,P,5.912200231002531
169,0,P,8.354905732508303
170,0,P,11.65011178578618
171,0,P,8.514046553019034
172,0,P,9.999210897262465
173,0,P,8.41848493217014
174,0,P,5.163587729533564
175,1,N,3.5434851103589744
176,1,N,3.751948373467579
177,1,N,1.2640979572355622
178,1,N,-1.156234442664875
179,1,N,0.3319914443838963
180,1,N,4.763593620608039
181,1,N,5.251755147664358
182,1,N,3.714233596287838
183,1,N,0.9496240861741154
184,1,N,3.0880919341595057
185,1,N,4.896589816906367
186,1,N,3.9260870655561195
187,1,N,1.973141315841112
188,1,N,2.1537259005625056
189,0,P,6.00740524839489
190,0,P,5.317642822005777
191,0,P,8.945255234953123
192,0,P,8.288644683686051
193,0,P,9.422068581074868
194,0,P,10.236433203385355
195,0,P,8.741794075053027
196,1,N,4.868334711162648
197,1,N,2.4938012044979274
198,1,N,3.571105298942683
199,1,N,2.1496760038487497
200,1,N,4.1529103379986125
201,1,N,0.5498842961339689
202,1,N,3.4246225321319836
203,1,N,3.4072890980247186
204,1,N,0.5464570655621857
205,1,N,1.7450706120131327
206,1,N,1.3739161671918398
207,1,N,2.823598474064404
208,1,N,4.960496895694961
209,1,N,3.0242919417936105
210,1,N,0.03958932882127364
211,1,N,6.8483984875567785
212,1,N,0.10314083466151258
213,1,N,5.368918485995065
214,1,N,0.6787827587508075
215,1,N,5.116066162552192
216,1,N,-0.35040834708720014
217,1,N,2.9709142122373575
218,1,N,1.0875322349202763
219,1,N,4.71593763035052
220,1,N,1.9576141825183566
221,1,N,6.327403893874781
222,1,N,4.335352053804909
223,1,N,3.607617771623943
224,1,N,3.1340008164197735
225,1,N,0.08735558336815963
226,1,N,2.930430665717533
227,1,N,3.7030181556061286
228,1,N,3.4014952196003216
229,1,N,3.7463028361452255
230,1,N,3.348927266504938
231,1,N,1.9331511813762963
232,1,N,6.805903074780614
233,1,N,2.32216098769151
234,1,N,2.8993127541095136
235,1,N,3.6976719206397366
236,1,N,3.9604526687700585
237,1,N,2.796467786153703
238,1,N,4.091836524128941
239,1,N,2.319534925762133
240,1,N,4.045399703960929
241,1,N,3.89213888527915
242,1,N,2.4376745275573386
243,1,N,4.466965436463215
244,1,N,0.888061827840104
245,1,N,2.7809523765236337
246,1,N,5.116952987641423
247,1,N,3.3116288406211
248,1,N,2.7484436094550464
249,1,N,4.880641732307222
250,1,N,2.028376267978461
251,1,N,1.6591610426407726
252,0,P,6.089821739694795
253,1,N,2.993894981447794
254,1,N,5.127367432870681
255,1,N,0.9487882432693651
256,1,N,2.1182987716383135
257,1,N,2.7945700155874356
258,1,N,1.7306780457694537
259,0,P,4.735614393455883
260,0,P,6.6344113204007344
261,0,P,11.76511277955175
262,1,N,0.6874763104352217
263,1,N,3.4812504111510485
264,1,N,7.864104616693003
265,1,N,5.2215544479955724
266,1,N,2.9787858568827392
267,1,N,0.8950850595956439
268,1,N,1.3351107064799113
269,1,N,2.135799819114419
270,1,N,1.3843994204901056
271,0,P,6.918802127908474
272,0,P,5.847528795850597
273,0,P,7.347668572862627
274,1,N,1.9554382784697057
275,1,N,1.9314946275383038
276,1,N,4.981179482222661
277,1,N,0.9466746177685388
278,0,P,8.201618592426236
279,0,P,8.16163985136906
280,1,N,5.4652974583200145
281,1,N,2.6219050159690163
282,1,N,3.59132632224952
283,1,N,3.4874248990890147
284,1,N,3.7095048772851533
285,1,N,6.114942345706994
286,1,N,2.818400158850075
287,1,N,-2.1291706567209205
288,1,N,3.717004981178483
289,1,N,4.850822068362891
290,0,P,6.793144322018067
291,0,P,5.510787218088684
292,0,P,7.911701771032095
293,0,P,7.794565790951467
294,0,P,8.428938912934328
295,1,N,2.491633745099951
296,1,N,2.926995220313749
297,1,N,3.8978496319779308
298,1,N,8.079704132396866
299,1,N,3.1833131233470957
300,1,N,5.256126353608137
301,1,N,3.8960002890993746
302,1,N,2.5275093190351265
303,1,N,4.978877868945944
304,1,N,4.950401594733349
305,1,N,1.5260433759086578
306,1,N,3.874478262544739
307,1,N,4.216983866621423
308,1,N,0.2734858787405732
309,1,N,4.880449236198117
310,1,N,1.0138598321775396
311,1,N,3.386895101700988
312,1,N,2.836459842737817
313,1,N,7.709795478074538
314,1,N,1.3104173056013775
315,1,N,3.2540328739094786
316,1,N,6.139863129507166
317,1,N,2.225611573023251
318,1,N,3.4653105507488937
319,0,P,7.092493489003237
320,0,P,7.623001787416059
321,1,N,5.076726472417468
322,1,N,3.6260644205835937
323,1,N,-2.2041308879074712
324,1,N,2.521857178774338
325,1,N,2.7435493902529244
326,1,N,1.3255802185614807
327,1,N,1.6984473204931954
328,1,N,5.563849980759175
329,1,N,2.2050339828669174
330,1,N,0.11021563351504993
331,1,N,4.363285275367135
332,1,N,2.2917553007124356
333,1,N,5.048077415559048
334,1,N,4.268102317240573
335,1,N,2.009299063579534
336,1,N,6.20850797170044
337,1,N,4.534302029789245
338,1,N,4.558429292768242
339,1,N,0.2864274579586725
340,1,N,4.143414024256578
341,1,N,3.293663103221776
342,1,N,1.4771602404830813
343,1,N,0.9655315449079809
344,1,N,5.290859477651109
345,1,N,5.523547710802503
346,1,N,2.4741371961801666
347,1,N,4.123996720068494
348,1,N,4.77960970320996
349,1,N,0.8434085543816834
350,1,N,5.957545481044129
351,1,N,2.6282870414219035
352,1,N,1.5514953151926
353,1,N,5.925547945864627
354,1,N,1.3272308717825347
355,1,N,3.9882013238861855
356,1,N,4.470099879723597
357,1,N,1.0563328527198996
358,1,N,4.025068540908865
359,1,N,3.849623522038269
360,1,N,0.9126554289586535
361,1,N,3.804986813693093
362,1,N,1.827462222881255
363,1,N,4.427951143423547
364,1,N,2.9772253561599844
365,1,N,1.48983438390099
366,1,N,1.3372110267932444
367,1,N,3.4797909929720503
368,1,N,1.5636853677745575
369,1,N,2.6754561660135043
370,1,N,5.916995557370293
371,1,N,1.1933002736832021
372,1,N,5.552550616939679
373,1,N,0.3291281503885579
374,1,N,1.379873075813189
375,1,N,5.079888822773519
376,1,N,1.9840589737169383
377,1,N,3.612653018259432
378,1,N,1.8353898819435022
379,1,N,0.7748642232468157
380,1,N,2.3490927740989553
381,1,N,3.678711497144931
382,1,N,1.5934144167804996
383,1,N,4.431926625052084
384,1,N,6.1333599703032515
385,1,N,0.4606216467678226
386,1,N,2.431640610433242
387,1,N,3.3078987900524783
388,1,N,2.424663192685694
389,1,N,3.813265606152046
390,1,N,3.6961647691530652
391,1,N,3.5065846771184335
392,1,N,5.168014500503049
393,1,N,2.1690920987133726
394,1,N,3.9377580263469083
395,1,N,0.31570201865943703
396,1,N,2.321008737670711
397,1,N,3.3528271492639172
398,1,N,3.3711036361114366
399,1,N,4.716005768224852
400,1,N,1.9140157720336786
401,1,N,3.7820027363680397
402,1,N,3.3434149889229507
403,1,N,5.515369810421859
404,1,N,0.18734075960229246
405,1,N,3.5441447724710713
406,1,N,3.6880971627441816
407,1,N,1.9516251136533733
